"Respondent.clean","Respondent.ID","Respondent.entry.ID","Region.within.country.clean","Country.clean","World.region.clean","Crop.clean","Crop.type.clean","Score.type","Score","Respondent.entry.label","TotalScore.allSteps","MeanScore.allSteps","GeoMeanScore.allSteps"
"PT","R28",1,"Multi-region: Limpopo & Free State","South Africa","Africa","Multi- fruit & orchard","Perennial fruit & forestry crops","Monitoring Interventions",1,"R28-1",9,1.8,1.64375182951723
"PT","R28",1,"Multi-region: Limpopo & Free State","South Africa","Africa","Multi- fruit & orchard","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",1,"R28-1",9,1.8,1.64375182951723
"RD","R29",1,"Queensland","Australia","Australasia / Pacific","Macadamia","Perennial fruit & forestry crops","Evidence",2,"R29-1",4,0.8,0
"RD","R29",1,"Queensland","Australia","Australasia / Pacific","Macadamia","Perennial fruit & forestry crops","Representativeness",1,"R29-1",4,0.8,0
"RD","R29",1,"Queensland","Australia","Australasia / Pacific","Macadamia","Perennial fruit & forestry crops","Limiting Factors",1,"R29-1",4,0.8,0
"RD","R29",1,"Queensland","Australia","Australasia / Pacific","Macadamia","Perennial fruit & forestry crops","Available Interventions",1,"R29-1",4,0.8,0
"RD","R29",1,"Queensland","Australia","Australasia / Pacific","Macadamia","Perennial fruit & forestry crops","Monitoring Interventions",0,"R29-1",4,0.8,0
"RD","R29",1,"Queensland","Australia","Australasia / Pacific","Macadamia","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",0,"R29-1",4,0.8,0
"SZ","R30",1,"Central-Transdanubian Region","Hungary","Europe","Vineyard","Vineyard","Evidence",3,"R30-1",10,2,1.782602457966
"SZ","R30",1,"Central-Transdanubian Region","Hungary","Europe","Vineyard","Vineyard","Representativeness",1,"R30-1",10,2,1.782602457966
"SZ","R30",1,"Central-Transdanubian Region","Hungary","Europe","Vineyard","Vineyard","Limiting Factors",3,"R30-1",10,2,1.782602457966
"SZ","R30",1,"Central-Transdanubian Region","Hungary","Europe","Vineyard","Vineyard","Available Interventions",2,"R30-1",10,2,1.782602457966
"SZ","R30",1,"Central-Transdanubian Region","Hungary","Europe","Vineyard","Vineyard","Monitoring Interventions",1,"R30-1",10,2,1.782602457966
"SZ","R30",1,"Central-Transdanubian Region","Hungary","Europe","Vineyard","Vineyard","Breadth of Implementation
of Interventions",1,"R30-1",10,2,1.782602457966
"ST","R31",1,"Vanua Levu","Fiji","Australasia / Pacific","Multi- crop","Pasture & mixed cropping","Evidence",3,"R31-1",5,1,0
"ST","R31",1,"Vanua Levu","Fiji","Australasia / Pacific","Multi- crop","Pasture & mixed cropping","Representativeness",1,"R31-1",5,1,0
"ST","R31",1,"Vanua Levu","Fiji","Australasia / Pacific","Multi- crop","Pasture & mixed cropping","Limiting Factors",1,"R31-1",5,1,0
"ST","R31",1,"Vanua Levu","Fiji","Australasia / Pacific","Multi- crop","Pasture & mixed cropping","Available Interventions",1,"R31-1",5,1,0
"ST","R31",1,"Vanua Levu","Fiji","Australasia / Pacific","Multi- crop","Pasture & mixed cropping","Monitoring Interventions",0,"R31-1",5,1,0
"ST","R31",1,"Vanua Levu","Fiji","Australasia / Pacific","Multi- crop","Pasture & mixed cropping","Breadth of Implementation
of Interventions",0,"R31-1",5,1,0
"SP","R32",1,"Multi-country: Australia &New Zealand","Australia & New Zealand","Australasia / Pacific","Multi- crop","Pasture & mixed cropping","Evidence",3,"R32-1",6,1.2,0
"SP","R32",1,"Multi-country: Australia &New Zealand","Australia & New Zealand","Australasia / Pacific","Multi- crop","Pasture & mixed cropping","Representativeness",2,"R32-1",6,1.2,0
"SP","R32",1,"Multi-country: Australia &New Zealand","Australia & New Zealand","Australasia / Pacific","Multi- crop","Pasture & mixed cropping","Limiting Factors",1,"R32-1",6,1.2,0
"SP","R32",1,"Multi-country: Australia &New Zealand","Australia & New Zealand","Australasia / Pacific","Multi- crop","Pasture & mixed cropping","Available Interventions",1,"R32-1",6,1.2,0
"SP","R32",1,"Multi-country: Australia &New Zealand","Australia & New Zealand","Australasia / Pacific","Multi- crop","Pasture & mixed cropping","Monitoring Interventions",0,"R32-1",6,1.2,0
"SP","R32",1,"Multi-country: Australia &New Zealand","Australia & New Zealand","Australasia / Pacific","Multi- crop","Pasture & mixed cropping","Breadth of Implementation
of Interventions",1,"R32-1",6,1.2,0
"TT","R33",1,"Central Sulawesi","Indonesia","South / Southeast Asia","Agroforestry cacao","Agroforestry cacao","Evidence",3,"R33-1",8,1.6,1.43096908110526
"TT","R33",1,"Central Sulawesi","Indonesia","South / Southeast Asia","Agroforestry cacao","Agroforestry cacao","Representativeness",1,"R33-1",8,1.6,1.43096908110526
"TT","R33",1,"Central Sulawesi","Indonesia","South / Southeast Asia","Agroforestry cacao","Agroforestry cacao","Limiting Factors",2,"R33-1",8,1.6,1.43096908110526
"TT","R33",1,"Central Sulawesi","Indonesia","South / Southeast Asia","Agroforestry cacao","Agroforestry cacao","Available Interventions",1,"R33-1",8,1.6,1.43096908110526
"TT","R33",1,"Central Sulawesi","Indonesia","South / Southeast Asia","Agroforestry cacao","Agroforestry cacao","Monitoring Interventions",1,"R33-1",8,1.6,1.43096908110526
"TT","R33",1,"Central Sulawesi","Indonesia","South / Southeast Asia","Agroforestry cacao","Agroforestry cacao","Breadth of Implementation
of Interventions",1,"R33-1",8,1.6,1.43096908110526
"TT","R33",2,"Piura","Peru","Latin America / Caribbean","Agroforestry cacao","Agroforestry cacao","Evidence",3,"R33-2",9,1.8,1.64375182951723
"TT","R33",2,"Piura","Peru","Latin America / Caribbean","Agroforestry cacao","Agroforestry cacao","Representativeness",1,"R33-2",9,1.8,1.64375182951723
"TT","R33",2,"Piura","Peru","Latin America / Caribbean","Agroforestry cacao","Agroforestry cacao","Limiting Factors",2,"R33-2",9,1.8,1.64375182951723
"TT","R33",2,"Piura","Peru","Latin America / Caribbean","Agroforestry cacao","Agroforestry cacao","Available Interventions",2,"R33-2",9,1.8,1.64375182951723
"TT","R33",2,"Piura","Peru","Latin America / Caribbean","Agroforestry cacao","Agroforestry cacao","Monitoring Interventions",1,"R33-2",9,1.8,1.64375182951723
"TT","R33",2,"Piura","Peru","Latin America / Caribbean","Agroforestry cacao","Agroforestry cacao","Breadth of Implementation
of Interventions",1,"R33-2",9,1.8,1.64375182951723
"TT","R33",3,"Limpopo","South Africa","Africa","Macadamia","Perennial fruit & forestry crops","Evidence",3,"R33-3",9,1.8,1.64375182951723
"TT","R33",3,"Limpopo","South Africa","Africa","Macadamia","Perennial fruit & forestry crops","Representativeness",2,"R33-3",9,1.8,1.64375182951723
"TT","R33",3,"Limpopo","South Africa","Africa","Macadamia","Perennial fruit & forestry crops","Limiting Factors",2,"R33-3",9,1.8,1.64375182951723
"TT","R33",3,"Limpopo","South Africa","Africa","Macadamia","Perennial fruit & forestry crops","Available Interventions",2,"R33-3",9,1.8,1.64375182951723
"TT","R33",3,"Limpopo","South Africa","Africa","Macadamia","Perennial fruit & forestry crops","Monitoring Interventions",1,"R33-3",9,1.8,1.64375182951723
"TT","R33",3,"Limpopo","South Africa","Africa","Macadamia","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",1,"R33-3",9,1.8,1.64375182951723
"TJ","R34",1,"Multi-region: Jilin province, yunnan province, henan province, shandong provinc & shanxi province","China","East Asia","Multi- crop","Pasture & mixed cropping","Evidence",2,"R34-1",6,1.2,0
"TJ","R34",1,"Multi-region: Jilin province, yunnan province, henan province, shandong provinc & shanxi province","China","East Asia","Multi- crop","Pasture & mixed cropping","Representativeness",3,"R34-1",6,1.2,0
"TJ","R34",1,"Multi-region: Jilin province, yunnan province, henan province, shandong provinc & shanxi province","China","East Asia","Multi- crop","Pasture & mixed cropping","Limiting Factors",2,"R34-1",6,1.2,0
"TJ","R34",1,"Multi-region: Jilin province, yunnan province, henan province, shandong provinc & shanxi province","China","East Asia","Multi- crop","Pasture & mixed cropping","Available Interventions",1,"R34-1",6,1.2,0
"TJ","R34",1,"Multi-region: Jilin province, yunnan province, henan province, shandong provinc & shanxi province","China","East Asia","Multi- crop","Pasture & mixed cropping","Monitoring Interventions",1,"R34-1",6,1.2,0
"TJ","R34",1,"Multi-region: Jilin province, yunnan province, henan province, shandong provinc & shanxi province","China","East Asia","Multi- crop","Pasture & mixed cropping","Breadth of Implementation
of Interventions",0,"R34-1",6,1.2,0
"XP","R35",1,"Catalonia","Spain","Europe","Olive groves","Perennial fruit & forestry crops","Evidence",2,"R35-1",6,1.2,1.14869835499704
"XP","R35",1,"Catalonia","Spain","Europe","Olive groves","Perennial fruit & forestry crops","Representativeness",1,"R35-1",6,1.2,1.14869835499704
"XP","R35",1,"Catalonia","Spain","Europe","Olive groves","Perennial fruit & forestry crops","Limiting Factors",1,"R35-1",6,1.2,1.14869835499704
"XP","R35",1,"Catalonia","Spain","Europe","Olive groves","Perennial fruit & forestry crops","Available Interventions",1,"R35-1",6,1.2,1.14869835499704
"XP","R35",1,"Catalonia","Spain","Europe","Olive groves","Perennial fruit & forestry crops","Monitoring Interventions",1,"R35-1",6,1.2,1.14869835499704
"XP","R35",1,"Catalonia","Spain","Europe","Olive groves","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",1,"R35-1",6,1.2,1.14869835499704
"XP","R35",2,"Catalonia","Spain","Europe","Rice","Grain crops","Evidence",2,"R35-2",8,1.6,1.43096908110526
"XP","R35",2,"Catalonia","Spain","Europe","Rice","Grain crops","Representativeness",1,"R35-2",8,1.6,1.43096908110526
"XP","R35",2,"Catalonia","Spain","Europe","Rice","Grain crops","Limiting Factors",1,"R35-2",8,1.6,1.43096908110526
"XP","R35",2,"Catalonia","Spain","Europe","Rice","Grain crops","Available Interventions",1,"R35-2",8,1.6,1.43096908110526
"XP","R35",2,"Catalonia","Spain","Europe","Rice","Grain crops","Monitoring Interventions",1,"R35-2",8,1.6,1.43096908110526
"XP","R35",2,"Catalonia","Spain","Europe","Rice","Grain crops","Breadth of Implementation
of Interventions",3,"R35-2",8,1.6,1.43096908110526
"XP","R35",3,"Catalonia","Spain","Europe","Vineyard","Vineyard","Evidence",3,"R35-3",8,1.6,0
"XP","R35",3,"Catalonia","Spain","Europe","Vineyard","Vineyard","Representativeness",1,"R35-3",8,1.6,0
"XP","R35",3,"Catalonia","Spain","Europe","Vineyard","Vineyard","Limiting Factors",0,"R35-3",8,1.6,0
"XP","R35",3,"Catalonia","Spain","Europe","Vineyard","Vineyard","Available Interventions",1,"R35-3",8,1.6,0
"XP","R35",3,"Catalonia","Spain","Europe","Vineyard","Vineyard","Monitoring Interventions",2,"R35-3",8,1.6,0
"XP","R35",3,"Catalonia","Spain","Europe","Vineyard","Vineyard","Breadth of Implementation
of Interventions",2,"R35-3",8,1.6,0
"ZC","R36",1,"Multi-region: New South Wales & Victoria","Australia","Australasia / Pacific","Vineyard","Vineyard","Evidence",2,"R36-1",6,1.2,0
"ZC","R36",1,"Multi-region: New South Wales & Victoria","Australia","Australasia / Pacific","Vineyard","Vineyard","Representativeness",1,"R36-1",6,1.2,0
"ZC","R36",1,"Multi-region: New South Wales & Victoria","Australia","Australasia / Pacific","Vineyard","Vineyard","Limiting Factors",2,"R36-1",6,1.2,0
"ZC","R36",1,"Multi-region: New South Wales & Victoria","Australia","Australasia / Pacific","Vineyard","Vineyard","Available Interventions",1,"R36-1",6,1.2,0
"ZC","R36",1,"Multi-region: New South Wales & Victoria","Australia","Australasia / Pacific","Vineyard","Vineyard","Monitoring Interventions",0,"R36-1",6,1.2,0
"ZC","R36",1,"Multi-region: New South Wales & Victoria","Australia","Australasia / Pacific","Vineyard","Vineyard","Breadth of Implementation
of Interventions",1,"R36-1",6,1.2,0
"HT","R37",NA,NA,NA,NA,NA,NA,"Evidence",NA,"R37-NA",0,NA,NA
"HT","R37",NA,NA,NA,NA,NA,NA,"Representativeness",NA,"R37-NA",0,NA,NA
"HT","R37",NA,NA,NA,NA,NA,NA,"Limiting Factors",NA,"R37-NA",0,NA,NA
"HT","R37",NA,NA,NA,NA,NA,NA,"Available Interventions",NA,"R37-NA",0,NA,NA
"HT","R37",NA,NA,NA,NA,NA,NA,"Monitoring Interventions",NA,"R37-NA",0,NA,NA
"HT","R37",NA,NA,NA,NA,NA,NA,"Breadth of Implementation
of Interventions",NA,"R37-NA",0,NA,NA
"YL","R38",NA,NA,NA,NA,NA,NA,"Evidence",NA,"R38-NA",0,NA,NA
"YL","R38",NA,NA,NA,NA,NA,NA,"Representativeness",NA,"R38-NA",0,NA,NA
"YL","R38",NA,NA,NA,NA,NA,NA,"Limiting Factors",NA,"R38-NA",0,NA,NA
"YL","R38",NA,NA,NA,NA,NA,NA,"Available Interventions",NA,"R38-NA",0,NA,NA
"YL","R38",NA,NA,NA,NA,NA,NA,"Monitoring Interventions",NA,"R38-NA",0,NA,NA
"YL","R38",NA,NA,NA,NA,NA,NA,"Breadth of Implementation
of Interventions",NA,"R38-NA",0,NA,NA
"BM","R5",NA,NA,NA,NA,NA,NA,"Evidence",NA,"R5-NA",0,NA,NA
"BM","R5",NA,NA,NA,NA,NA,NA,"Representativeness",NA,"R5-NA",0,NA,NA
"BM","R5",NA,NA,NA,NA,NA,NA,"Limiting Factors",NA,"R5-NA",0,NA,NA
"BM","R5",NA,NA,NA,NA,NA,NA,"Available Interventions",NA,"R5-NA",0,NA,NA
"BM","R5",NA,NA,NA,NA,NA,NA,"Monitoring Interventions",NA,"R5-NA",0,NA,NA
"BM","R5",NA,NA,NA,NA,NA,NA,"Breadth of Implementation
of Interventions",NA,"R5-NA",0,NA,NA
"O","R39",NA,NA,NA,NA,NA,NA,"Evidence",NA,"R39-NA",0,NA,NA
"O","R39",NA,NA,NA,NA,NA,NA,"Representativeness",NA,"R39-NA",0,NA,NA
"O","R39",NA,NA,NA,NA,NA,NA,"Limiting Factors",NA,"R39-NA",0,NA,NA
"O","R39",NA,NA,NA,NA,NA,NA,"Available Interventions",NA,"R39-NA",0,NA,NA
"O","R39",NA,NA,NA,NA,NA,NA,"Monitoring Interventions",NA,"R39-NA",0,NA,NA
"O","R39",NA,NA,NA,NA,NA,NA,"Breadth of Implementation
of Interventions",NA,"R39-NA",0,NA,NA
"KR","R40",NA,NA,NA,NA,NA,NA,"Evidence",NA,"R40-NA",0,NA,NA
"KR","R40",NA,NA,NA,NA,NA,NA,"Representativeness",NA,"R40-NA",0,NA,NA
"KR","R40",NA,NA,NA,NA,NA,NA,"Limiting Factors",NA,"R40-NA",0,NA,NA
"KR","R40",NA,NA,NA,NA,NA,NA,"Available Interventions",NA,"R40-NA",0,NA,NA
"KR","R40",NA,NA,NA,NA,NA,NA,"Monitoring Interventions",NA,"R40-NA",0,NA,NA
"KR","R40",NA,NA,NA,NA,NA,NA,"Breadth of Implementation
of Interventions",NA,"R40-NA",0,NA,NA
